Month,member_casual,ride_0,ride_0_0.1,ride_0.1_0.2,ride_0.2_0.3,ride_0.3_0.4,ride_0.4_0.5,ride_0.5_0.6,ride_0.6_0.7,ride_0.7_0.8,ride_0.8_0.9,ride_0.9_1,total
01,casual,0.169,3.593,5.736,3.168,1.877,1.28,0.745,0.478,0.302,0.24,0.184,96834
01,member,0.692,27.717,26.205,12.254,6.166,3.359,2.124,1.231,0.6,0.249,0.152,96834
02,casual,0.143,2.59,5.109,3.474,2.322,1.747,1.094,0.742,0.482,0.423,0.318,49622
02,member,0.75,20.354,26.641,13.397,6.969,4.313,2.596,1.667,0.949,0.451,0.288,49622
03,casual,0.167,3.936,7.94,5.997,4.201,3.307,2.248,1.587,1.229,0.989,0.784,228496
03,member,0.424,17.523,19.935,10.719,5.825,3.627,2.24,1.322,0.634,0.299,0.158,228496
04,casual,0.216,4.495,9.089,6.682,4.549,3.473,2.331,1.65,1.275,1.06,0.845,337230
04,member,0.473,15.587,18.617,10.317,5.754,3.53,2.069,1.3,0.7,0.322,0.181,337230
05,casual,0.304,4.971,10.174,8.213,5.782,4.355,2.942,2.001,1.565,1.228,1.005,531633
05,member,0.446,13.433,15.989,9.094,5.069,3.046,1.88,1.191,0.615,0.265,0.151,531633
06,casual,0.361,5.415,11.532,9.317,6.356,4.398,2.875,1.953,1.421,1.134,0.897,729595
06,member,0.397,12.217,15.599,8.971,4.958,2.943,1.724,1.037,0.543,0.24,0.131,729595
07,casual,0.33,6.032,12.761,10.046,6.714,4.602,2.955,2.007,1.433,1.1,0.869,822410
07,member,0.362,11.918,14.717,8.377,4.574,2.635,1.548,0.912,0.486,0.212,0.127,822410
08,casual,0.292,6.086,12.679,9.684,6.297,4.32,2.764,1.853,1.276,0.982,0.785,804352
08,member,0.365,12.998,15.625,8.494,4.683,2.676,1.594,0.976,0.507,0.236,0.13,804352
09,casual,0.281,6.259,12.391,9.043,5.738,3.862,2.486,1.641,1.178,0.899,0.678,756147
09,member,0.378,14.78,16.555,8.877,4.74,2.677,1.61,0.988,0.514,0.224,0.127,756147
10,casual,0.243,6.63,11.398,7.398,4.502,2.986,1.862,1.227,0.865,0.629,0.46,631226
10,member,0.437,20.004,19.221,8.996,4.511,2.532,1.482,0.886,0.477,0.208,0.112,631226
11,casual,0.213,6.566,9.309,5.056,2.815,1.83,1.048,0.649,0.464,0.325,0.231,359978
11,member,0.495,27.739,22.566,9.334,4.424,2.447,1.371,0.822,0.468,0.188,0.092,359978
12,casual,0.204,6.43,8.977,4.687,2.664,1.705,0.982,0.611,0.372,0.262,0.215,247540
12,member,0.528,28.464,23.108,9.708,4.503,2.403,1.304,0.783,0.44,0.174,0.099,247540
